0301+23540	ERR107548	PAIRED
9601+30166	ERR107484	PAIRED
9703+24150	ERR107496	PAIRED
9705+05087	ERR107497	PAIRED
9603+12093	ERR107486	PAIRED
9906+15160	ERR107515	PAIRED
0109+28217	ERR107536	PAIRED
9512+07034	ERR107483	PAIRED
0006+20010	ERR107525	PAIRED
9903+09147	ERR107513	PAIRED
0205+05018	ERR107541	PAIRED
9802+26112	ERR107504	PAIRED
9611+04103	ERR107492	PAIRED
0001+05003	ERR107521	PAIRED
9911+18139	ERR107519	PAIRED
0208+13020	ERR107544	PAIRED
spnIC141	ERR028751	PAIRED
spnIC145	ERR028752	PAIRED
K01_071280	ERR029279	PAIRED
K01_071218	ERR029286	PAIRED
K01_071205	ERR029285	PAIRED
K13_0820	ERR029287	PAIRED
K13_0940	ERR029284	PAIRED
K13_082	ERR029289	PAIRED
K13_0827	ERR029282	PAIRED
K13_0913	ERR029283	PAIRED
K13_0810	ERR029278	PAIRED
LMG759	ERR051924	PAIRED
LMG2888	ERR051966	PAIRED
LMG2926	ERR271773	PAIRED
LMG2230	ERR051955	PAIRED
LMG3367	ERR051968	PAIRED
LMG2311	ERR051965	PAIRED
LMG2290	ERR051960	PAIRED
LMG2302	ERR051963	PAIRED
PT1430	ERR052395	PAIRED
PT582	ERR052396	PAIRED
PT76	ERR052397	PAIRED
DCC1738	ERR052391	PAIRED
DCC2613	ERR052400	PAIRED
PT3104	ERR052399	PAIRED
PT2236	ERR052398	PAIRED
DCC2623	ERR052401	PAIRED
PT3536	ERR052394	PAIRED
PT1175	ERR052393	PAIRED
PT3026	ERR052402	PAIRED
DCC1524	ERR052390	PAIRED
DCC1902	ERR052392	PAIRED
spnSP681	ERR028738	PAIRED
spnSP522	ERR028734	PAIRED
SN11927	ERR052506	PAIRED
SPN11926	ERR052438	PAIRED
29_PMEN2	ERR051883	PAIRED
SN11917	ERR052505	PAIRED
LMG2050	ERR051950	PAIRED
LMG2062	ERR051951	PAIRED
DG_25	ERR051889	PAIRED
BS_06	ERR271785	PAIRED
DG_23	ERR051888	PAIRED
LMG1417	ERR051938	PAIRED
1014-00	ERR051829	PAIRED
1422-00	ERR051833	PAIRED
LMG1978	ERR051948	PAIRED
LMG804	ERR052017	PAIRED
LMG90	ERR051799	PAIRED
6575-07	ERR051863	PAIRED
